Epoch,CNN2 - Train Loss,CNN2 - Train Acc,CNN2 - Test Acc,CNN2 - Epoch Time,RNN - Train Loss,RNN - Train Acc,RNN - Test Acc,RNN - Epoch Time
1,0.9753637343439208,61.11695811744387,34.9609375,9.23481011390686,1.0533233493669458,57.25725928324698,45.052083333333336,6.766411304473877
2,0.8300182316870476,66.00752914507773,41.276041666666664,8.654133319854736,0.9454006521812992,61.199940630397236,47.421875,6.909540414810181
3,0.7855658315649716,67.70968264248705,46.796875,8.953765392303467,0.8868393938544501,63.26910621761658,52.369791666666664,6.886454820632935
4,0.7559018971877807,68.78305807426598,50.15625,8.8188316822052,0.8525288136151582,64.54285405872193,56.822916666666664,6.871841907501221
5,0.7337879538278711,69.62030440414507,52.669270833333336,8.890825748443604,0.826467957006629,65.625,54.088541666666664,6.853063583374023
6,0.7166576139075562,70.17217184801382,54.309895833333336,8.65889048576355,0.8048694515037825,66.42109240069085,53.763020833333336,6.8436360359191895
7,0.700653712257151,70.90619602763385,55.403645833333336,8.925477504730225,0.7889456021533523,67.20773963730569,58.528645833333336,6.88044810295105
8,0.6854920236068892,71.5700561312608,57.083333333333336,8.859415054321289,0.7741753595377703,67.64761442141624,58.255208333333336,6.8639771938323975
9,0.6740891148878296,71.9654037132988,56.940104166666664,8.997777223587036,0.7619679457474249,68.34655656303973,58.3203125,6.784687757492065
10,0.6630367881558925,72.46869602763385,58.645833333333336,8.805546760559082,0.7504841245208997,68.76214378238342,61.8359375,6.995892763137817
11,0.6526640847145173,72.9753616148532,57.3828125,8.902359008789062,0.739628090605217,69.35786377374784,61.796875,6.8683764934539795
12,0.6428271675118871,73.39634607081175,57.6953125,8.75961709022522,0.7324217223724759,69.49751727115716,61.888020833333336,6.830220460891724
13,0.6352814130021809,73.62235535405873,59.388020833333336,9.017093420028687,0.7243719736053021,69.79908786701209,59.5703125,6.865455865859985
14,0.6261389926880186,74.02984671848014,59.6484375,8.910916566848755,0.7148411969858541,70.27404468911917,63.0078125,6.91782021522522
15,0.6191503280365199,74.33816386010362,59.127604166666664,8.930306196212769,0.7105899391589696,70.41572215025907,62.981770833333336,6.9575300216674805
16,0.6104384182062843,74.68696027633851,59.973958333333336,8.93023419380188,0.7010614636365408,70.88932966321244,62.0703125,6.982970952987671
17,0.6040448262396434,74.96761658031087,59.84375,8.286070823669434,0.7004370657350732,70.95949373920553,59.6875,6.7681725025177
18,0.5987413364634664,75.28402957685665,60.703125,8.474871397018433,0.6922022301787334,71.22193436960276,61.8359375,6.742183208465576
19,0.5911709064897632,75.597743955095,60.2734375,8.27712631225586,0.6856824853015172,71.50731325561313,63.776041666666664,6.931274890899658
20,0.5854914694017568,75.71850712435233,60.8984375,8.312020301818848,0.6799476683680258,71.83721934369603,61.25,6.953848123550415
21,0.5800337991862202,75.9478896804836,60.299479166666664,8.194244623184204,0.6764965524739346,71.97552353195164,61.979166666666664,7.243873834609985
22,0.5754543786019164,76.26835060449051,61.25,8.291244506835938,0.6715655838604212,72.25145725388602,65.078125,6.903678894042969
23,0.5694891195744276,76.49166126943005,60.755208333333336,8.086490631103516,0.6663380764707897,72.41135038860104,63.177083333333336,6.9336559772491455
24,0.5657464528330867,76.50650367012089,60.651041666666664,8.200404405593872,0.6646183469688234,72.41067573402418,62.317708333333336,6.909869432449341
25,0.5610561859174688,76.86204663212435,60.78125,8.187660694122314,0.6607548511797797,72.56854490500864,65.10416666666667,6.983824729919434
26,0.5562753305128665,77.07861075129534,60.013020833333336,8.121397018432617,0.65567656446229,72.91599201208982,64.24479166666667,6.829886198043823
27,0.5529864251739081,77.2175895941278,60.729166666666664,8.16326642036438,0.6502703918218098,73.08128238341969,65.18229166666667,7.125516176223755
28,0.5489499052127562,77.39434909326425,60.8984375,8.086544752120972,0.6475479797957165,73.20541882556131,66.171875,6.884552717208862
29,0.5463644790596656,77.5009445164076,60.182291666666664,8.237003803253174,0.6445758679434529,73.20744278929189,65.59895833333333,6.925989866256714
30,0.5405901041708642,77.73235103626943,61.145833333333336,8.274333000183105,0.6401836676571344,73.41928432642487,64.375,6.80571985244751
31,0.539778243523535,77.917881044905,60.885416666666664,8.30682897567749,0.6402567140082467,73.33900043177893,64.53125,6.818355083465576
32,0.5340006183076887,77.98062392055267,60.872395833333336,8.163366079330444,0.6369855009238131,73.76808074265976,60.221354166666664,6.956308603286743
33,0.5327766818020152,78.05955850604491,61.171875,8.277802228927612,0.6353026651624519,73.68577288428325,66.73177083333333,6.81813383102417
34,0.528601624908019,78.24508851468049,61.8359375,8.253132343292236,0.6335418036349105,73.7876457253886,66.26302083333333,6.909076690673828
35,0.5256836242066609,78.40970423143351,61.0546875,8.485597133636475,0.6288101556863707,73.99409002590673,65.95052083333333,6.802122116088867
36,0.5238741144653738,78.48998812607945,61.692708333333336,9.583733558654785,0.6250561451079366,73.99274071675302,61.328125,6.827956676483154
37,0.520966664670817,78.59860751295336,61.419270833333336,8.996177673339844,0.6250831929384529,74.12227439550949,63.958333333333336,8.177579879760742
38,0.5177589598769685,78.80775043177893,61.875,9.244284868240356,0.6215483653560178,74.27407167530224,62.5390625,6.9775166511535645
39,0.5149073638456242,78.83338730569949,61.692708333333336,9.366219758987427,0.6187174265354949,74.46095099309154,66.3671875,6.939563035964966
40,0.5131785792132939,78.91299654576856,61.575520833333336,9.395580053329468,0.6166781116910729,74.47579339378238,65.29947916666667,7.223594427108765
41,0.5127780422832116,79.03375971502591,61.197916666666664,9.28195595741272,0.6154292219451956,74.63501187392055,61.692708333333336,7.251111030578613
42,0.5096772278366298,79.19702612262522,61.484375,9.151411056518555,0.6141758054520594,74.63163860103627,67.6953125,6.401759147644043
43,0.5068500742206868,79.18825561312607,61.393229166666664,9.366907835006714,0.6099077450008564,74.92983592400691,64.46614583333333,6.252976179122925
44,0.5038118784537857,79.26719019861831,61.5234375,9.239146947860718,0.6072782524676418,74.98583225388602,62.630208333333336,6.185272455215454
45,0.5006372963001112,79.46284002590673,62.174479166666664,8.950328826904297,0.6072446310921654,75.01079447322971,64.59635416666667,6.246648788452148
46,0.5007138327970483,79.55256908462867,61.666666666666664,8.940778970718384,0.6067167066105212,74.91836679620035,64.3359375,6.329105854034424
47,0.4978559330501473,79.54919581174438,61.927083333333336,9.290977716445923,0.6010457990813312,75.06206822107082,65.14322916666667,6.143956899642944
48,0.4964333277087922,79.68884930915371,61.536458333333336,9.030426502227783,0.6022282310203361,75.03643134715026,62.5,7.271569490432739
49,0.49344831502020026,79.72123272884284,60.859375,8.940129280090332,0.5990116482098717,75.24827288428325,59.973958333333336,7.269842147827148
50,0.49224124680673753,79.98637197754749,61.419270833333336,9.228486776351929,0.6042004745254141,74.95075021588947,65.83333333333333,7.170604944229126

总结
模型,总训练时间(秒),平均每epoch时间(秒),最终测试准确率(%)
CNN2,466.69,9.33,61.42
RNN,373.77,7.48,65.83
